fold,train_size,test_size,normalization,accuracy,f1,roc_auc
0,9156,2290,fold,0.6013100436681222,0.589293747188484,0.6396419493934185
1,9157,2289,fold,0.5836609873307121,0.5732198835647111,0.6213119110933254
2,9157,2289,fold,0.5937090432503277,0.5761166818596172,0.6349049385525369
3,9157,2289,fold,0.5845347313237221,0.5706546275395034,0.618450716719791
4,9157,2289,fold,0.601135867190913,0.5925925925925926,0.6442554331190695
