fold,train_size,test_size,accuracy,f1,roc_auc
0,9156,2290,0.5820960698689956,0.5612104539202201,0.6170932462242692
1,9157,2289,0.5849716033202271,0.5681818181818182,0.6245774840425289
2,9157,2289,0.6006989951944081,0.5807339449541284,0.645397663667727
3,9157,2289,0.5670598514635212,0.5538045925258892,0.6050217799612121
4,9157,2289,0.6068152031454783,0.589041095890411,0.6565824915824916
