fold,train_size,test_size,normalization,accuracy,f1,roc_auc
0,9156,2290,global,0.5838427947598254,0.574363555158553,0.6254722286445064
1,9157,2289,global,0.5972040192223679,0.5797629899726527,0.6302128121043089
2,9157,2289,global,0.5919615552643076,0.5742935278030994,0.6253506865591405
3,9157,2289,global,0.5731760594145915,0.5544915640674875,0.6057865257902884
4,9157,2289,global,0.6046308431629532,0.5835250805338242,0.6493870523415979
