fold,train_size,test_size,normalization,accuracy,f1,roc_auc
0,9156,2290,global,0.5930131004366812,0.5771324863883848,0.6262337462162573
1,9157,2289,global,0.5845347313237221,0.5797613787008395,0.624152867915364
2,9157,2289,global,0.6046308431629532,0.5850527281063732,0.6395640872528013
3,9157,2289,global,0.580166011358672,0.5653550429669832,0.6119641425975664
4,9157,2289,global,0.6120576671035387,0.5869767441860465,0.6532843587389043
