fold,train_size,test_size,normalization,accuracy,f1,roc_auc
0,9156,2290,global,0.5860262008733624,0.5767857142857142,0.6308333733931255
1,9157,2289,global,0.5958934032328528,0.5857590685176892,0.6296415659476194
2,9157,2289,global,0.5880297072957623,0.5727231536021749,0.6211172488152636
3,9157,2289,global,0.6024464831804281,0.5897204688908927,0.6390713232550029
4,9157,2289,global,0.6238532110091743,0.5932923948984412,0.6590029078665441
